Payload,Orbit,Customer,Flight_No.,Date,Time,Version_Booster,Launch_site,Payload_mass,Launch_outcome,Booster_landing,Class
Starlink,LEO,SpaceX,78,7 January 2020,02:19:21,F9 B5,CCSFS,"15,600 kg","Success
",Success,1
Crew Dragon in-flight abort test,Sub-orbital,NASA,79,19 January 2020,15:30,F9 B5,KSC,"12,050 kg","Success
","No attempt
",0
Starlink,LEO,SpaceX,80,29 January 2020,14:07,F9 B5,CCSFS,"15,600 kg","Success
",Success,1
Starlink,LEO,SpaceX,81,17 February 2020,15:05,F9 B5,CCSFS,"15,600 kg","Success
",Failure,0
SpaceX CRS-20,LEO,NASA,82,7 March 2020,04:50,F9 B5,CCSFS,"1,977 kg","Success
",Success,1
Starlink,LEO,SpaceX,83,18 March 2020,12:16,F9 B5,KSC,"15,600 kg","Success
",Failure,0
Starlink,LEO,SpaceX,84,22 April 2020,19:30,F9 B5,KSC,"15,600 kg","Success
",Success,1
Crew Dragon Demo-2,LEO,NASA,85,30 May 2020,19:22,F9 B5B1058.1,KSC,"12,530 kg","Success
",Success,1
Starlink,LEO,SpaceX,86,4 June 2020,01:25,F9 B5,CCSFS,"15,600 kg","Success
",Success,1
Starlink,LEO,SpaceX,87,13 June 2020,09:21,F9 B5,CCSFS,"15,410 kg","Success
",Success,1
GPS III,MEO,U.S. Space Force,88,30 June 2020,20:10:46,F9 B5,CCSFS,"4,311 kg","Success
",Success,1
ANASIS-II,GTO,Republic of Korea Army,89,20 July 2020,21:30,F9 B5B1058.2,CCSFS,"5,000–6,000 kg","Success
",Success,1
Starlink,LEO,SpaceX,90,7 August 2020,05:12,F9 B5,KSC,"14,932 kg","Success
",Success,1
Starlink,LEO,Various,91,18 August 2020,14:31,F9 B5B1049.6,CCSFS,"~15,440 kg","Success
",Success,1
SAOCOM 1B,SSO,SpaceX,92,30 August 2020,23:18,F9 B5,CCSFS,"3,130 kg","Success
",Success,1
Starlink,LEO,SpaceX,93,3 September 2020,12:46:14,F9 B5B1060.2,KSC,"15,600 kg","Success
",Success,1
Starlink,LEO,SpaceX,94,6 October 2020,11:29:34,F9 B5B1058.3,KSC,"15,600 kg","Success
",Success,1
Starlink,LEO,SpaceX,95,18 October 2020,12:25:57,F9 B5B1051.6,KSC,"15,600 kg","Success
",Success,1
Starlink,LEO,SpaceX,96,24 October 2020,15:31:34,F9 B5,CCSFS,"15,600 kg","Success
",Success,1
GPS III,MEO,U.S. Space Force,97,5 November 2020,23:24:23,F9 B5,CCSFS,"4,311 kg","Success
",Success,1
Crew-1,LEO,NASA,98,16 November 2020,00:27,F9 B5B1061.1,KSC,"~12,500 kg","Success
",Success,1
Sentinel-6 Michael Freilich (Jason-CS A),LEO,SpaceX,99,21 November 2020,17:17:08,F9 B5,VSFB,"1,192 kg","Success
",Success,1
Starlink,LEO,SpaceX,100,25 November 2020,02:13,F9 B5B1049.7,CCSFS,"15,600 kg","Success
",Success,1
SpaceX CRS-21,LEO,NASA,101,6 December 2020,16:17:08,F9 B5B1058.4,KSC,"2,972 kg","Success
",Success,1
SXM-7,GTO,SpaceX,102,13 December 2020,17:30:00,F9 B5,CCSFS,"7,000 kg","Success
",Success,1
NROL-108,LEO,NRO,103,19 December 2020,14:00:00,F9 B5,KSC,C,"Success
",Success,1
Türksat 5A,GTO,Turksat,104,8 January 2021,02:15,F9 B5,CCSFS,"3,500 kg","Success
",Success,1
Starlink,LEO,SpaceX,105,20 January 2021,13:02:22,F9 B5B1051.8,KSC,"15,600 kg","Success
",Success,1
,SSO,Various,106,24 January 2021,15:00,F9 B5B1058.5,CCSFS,"~5,000 kg","Success
",Success,1
Starlink,LEO,SpaceX,107,4 February 2021,06:19,F9 B5B1060.5,CCSFS,"15,600 kg","Success
",Success,1
Starlink,LEO,SpaceX,108,16 February 2021,03:59:37,F9 B5,CCSFS,"15,600 kg","Success
",Failure,0
Starlink,LEO,SpaceX,109,4 March 2021,08:24:54,F9 B5B1049.8,KSC,"15,600 kg","Success
",Success,1
Starlink,LEO,SpaceX,110,11 March 2021,08:13:29,F9 B5B1058.6,CCSFS,"15,600 kg","Success
",Success,1
Starlink,LEO,SpaceX,111,14 March 2021,10:01:26,F9 B5,KSC,"15,600 kg","Success
",Success,1
Starlink,LEO,SpaceX,112,24 March 2021,08:28:24,F9 B5B1060.6,CCSFS,"15,600 kg","Success
",Success,1
Starlink,LEO,SpaceX,113,7 April 2021,16:34:18,F9 B5,CCSFS,"15,600 kg","Success
",Success,1
Crew-2,LEO,NASA,114,23 April 2021,09:49:02,F9 B5B1061.2,KSC,"~13,000 kg","Success
",Success,1
Starlink,LEO,SpaceX,115,29 April 2021,03:44:30,F9 B5B1060.7,CCSFS,"15,600 kg","Success
",Success,1
Starlink,LEO,SpaceX,116,4 May 2021,19:01:07,F9 B5B1049.9,KSC,"15,600 kg","Success
",Success,1
Starlink,LEO,SpaceX,117,9 May 2021,06:42:45,F9 B5B1051.10,CCSFS,"15,600 kg","Success
",Success,1
Starlink,LEO,SpaceX,118,15 May 2021,22:56,F9 B5,KSC,"~14,000 kg","Success
",Success,1
Starlink,LEO,SpaceX,119,26 May 2021,18:59:35,F9 B5,CCSFS,"15,600 kg","Success
",Success,1
SpaceX CRS-22,LEO,NASA,120,3 June 2021,17:29:17,F9 B5B1067.1,KSC,"3,328 kg","Success
",Success,1
SXM-8,GTO,SpaceX,121,6 June 2021,04:26,F9 B5,CCSFS,"7,000 kg","Success
",Success,1
USA-319,MEO,U.S. Space Force,122,17 June 2021,16:09:35,F9 B5B1062.2,CCSFS,"4,331 kg","Success
",Success,1
,SSO,Various,123,30 June 2021,19:31,F9 B5,CCSFS,U,"Success
",Success,1
SpaceX CRS-23,LEO,NASA,124,29 August 2021,07:14:49,F9 B5,KSC,"~2,200 kg","Success
",Success,1
Starlink,LEO,SpaceX,125,14 September 2021,03:55:50,F9 B5B1049.10,VSFB,"~13,260 kg","Success
",Success,1
Inspiration4,LEO,SpaceX,126,16 September 2021,00:02:56,F9 B5B1062.3,KSC,"~12,519 kg","Success
",Success,1
Crew-3,LEO,NASA,127,11 November 2021,02:03:31,F9 B5B1067.2,KSC,"~13,000 kg","Success
",Success,1
Starlink,LEO,SpaceX,128,13 November 2021,12:19,F9 B5B1058.9,CCSFS,"~15,635 kg","Success
",Success,1
